,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,240.0,240.0,42.0,86.0,0.488,11.0,31.0,0.355,21.0,30.0,0.7,8.0,40.0,48.0,29.0,7.0,3.0,17.0,21.0,116.0,,,0.585,0.552,0.36,0.349,18.6,85.1,53.3,69.0,6.6,5.0,14.6,100.0,109.8,104.1,,,12.0,19.0,1.0,3.0,8.0,1.0,8.0,10.0,1.0,4.0,12.0,16.0,9.0,2.0,1.0,5.0,4.0,33.0,31.3,13.0,0.875,1.0,0.833,6.0,15.0,41.1,28.6,36.4,3.1,2.7,28.2,32.7,151.0,110.0,NOP,116,0,240.0,240.0,43.0,90.0,0.478,7.0,30.0,0.233,17.0,24.0,0.708,7.0,35.0,42.0,20.0,7.0,3.0,13.0,23.0,110.0,,,0.547,0.517,0.333,0.267,14.9,81.4,46.7,46.5,6.7,5.5,11.4,100.0,104.6,110.3,,,9.0,19.0,0.818,3.0,7.0,1.0,9.0,10.0,0.9,3.0,7.0,10.0,6.0,2.0,1.0,4.0,6.0,22.0,17.0,10.0,0.875,0.875,0.75,0.714,10.0,28.5,17.3,29.9,3.3,5.3,28.6,28.0,177.0,117.0,DET,110,1,2023,2023-01-13,True
11,240.0,240.0,43.0,90.0,0.478,7.0,30.0,0.233,17.0,24.0,0.708,7.0,35.0,42.0,20.0,7.0,3.0,13.0,23.0,110.0,,,0.547,0.517,0.333,0.267,14.9,81.4,46.7,46.5,6.7,5.5,11.4,100.0,104.6,110.3,,,9.0,19.0,0.818,3.0,7.0,1.0,9.0,10.0,0.9,3.0,7.0,10.0,6.0,2.0,1.0,4.0,6.0,22.0,17.0,10.0,0.875,0.875,0.75,0.714,10.0,28.5,17.3,29.9,3.3,5.3,28.6,28.0,177.0,117.0,DET,110,1,240.0,240.0,42.0,86.0,0.488,11.0,31.0,0.355,21.0,30.0,0.7,8.0,40.0,48.0,29.0,7.0,3.0,17.0,21.0,116.0,,,0.585,0.552,0.36,0.349,18.6,85.1,53.3,69.0,6.6,5.0,14.6,100.0,109.8,104.1,,,12.0,19.0,1.0,3.0,8.0,1.0,8.0,10.0,1.0,4.0,12.0,16.0,9.0,2.0,1.0,5.0,4.0,33.0,31.3,13.0,0.875,1.0,0.833,6.0,15.0,41.1,28.6,36.4,3.1,2.7,28.2,32.7,151.0,110.0,NOP,116,0,2023,2023-01-13,False
12,240.0,240.0,50.0,94.0,0.532,12.0,35.0,0.343,12.0,16.0,0.75,10.0,33.0,43.0,37.0,11.0,2.0,11.0,17.0,124.0,,,0.614,0.596,0.372,0.17,25.6,78.6,53.1,74.0,11.3,4.0,9.8,100.0,127.4,100.7,,,11.0,15.0,0.733,4.0,10.0,0.5,4.0,6.0,1.0,3.0,6.0,8.0,10.0,3.0,1.0,2.0,5.0,26.0,23.3,23.0,0.737,0.733,0.769,0.4,21.7,31.1,21.5,45.4,8.8,3.8,20.2,28.0,145.0,110.0,MIA,124,0,240.0,240.0,37.0,80.0,0.463,13.0,30.0,0.433,11.0,18.0,0.611,9.0,29.0,38.0,27.0,5.0,3.0,18.0,17.0,98.0,,,0.557,0.544,0.375,0.225,21.4,74.4,46.9,73.0,5.2,5.1,17.0,100.0,101.7,128.7,,,8.0,17.0,1.0,5.0,9.0,1.0,3.0,5.0,1.0,4.0,6.0,10.0,6.0,2.0,2.0,5.0,5.0,21.0,12.5,2.0,1.5,1.5,1.0,1.667,20.7,29.5,23.7,48.5,4.5,6.6,50.0,31.0,141.0,135.0,NOP,98,1,2023,2023-01-18,True
13,240.0,240.0,37.0,80.0,0.463,13.0,30.0,0.433,11.0,18.0,0.611,9.0,29.0,38.0,27.0,5.0,3.0,18.0,17.0,98.0,,,0.557,0.544,0.375,0.225,21.4,74.4,46.9,73.0,5.2,5.1,17.0,100.0,101.7,128.7,,,8.0,17.0,1.0,5.0,9.0,1.0,3.0,5.0,1.0,4.0,6.0,10.0,6.0,2.0,2.0,5.0,5.0,21.0,12.5,2.0,1.5,1.5,1.0,1.667,20.7,29.5,23.7,48.5,4.5,6.6,50.0,31.0,141.0,135.0,NOP,98,1,240.0,240.0,50.0,94.0,0.532,12.0,35.0,0.343,12.0,16.0,0.75,10.0,33.0,43.0,37.0,11.0,2.0,11.0,17.0,124.0,,,0.614,0.596,0.372,0.17,25.6,78.6,53.1,74.0,11.3,4.0,9.8,100.0,127.4,100.7,,,11.0,15.0,0.733,4.0,10.0,0.5,4.0,6.0,1.0,3.0,6.0,8.0,10.0,3.0,1.0,2.0,5.0,26.0,23.3,23.0,0.737,0.733,0.769,0.4,21.7,31.1,21.5,45.4,8.8,3.8,20.2,28.0,145.0,110.0,MIA,124,0,2023,2023-01-18,False
14,240.0,240.0,36.0,96.0,0.375,13.0,37.0,0.351,22.0,26.0,0.846,11.0,37.0,48.0,22.0,10.0,4.0,15.0,29.0,107.0,,,0.498,0.443,0.385,0.271,21.2,72.5,46.6,61.1,9.4,6.7,12.3,100.0,100.8,105.5,,,8.0,17.0,0.667,5.0,12.0,1.0,11.0,11.0,1.0,3.0,10.0,12.0,12.0,2.0,4.0,4.0,6.0,23.0,20.5,10.0,0.799,0.75,0.75,0.647,23.1,26.1,23.3,56.1,3.8,8.9,36.8,35.9,125.0,111.0,IND,107,0,240.0,240.0,38.0,91.0,0.418,12.0,31.0,0.387,24.0,35.0,0.686,14.0,41.0,55.0,27.0,9.0,8.0,15.0,20.0,112.0,,,0.526,0.484,0.341,0.385,27.5,78.8,53.4,71.1,8.5,13.6,12.4,100.0,106.0,101.3,,,9.0,19.0,0.571,3.0,7.0,0.5,11.0,15.0,1.0,4.0,14.0,16.0,4.0,4.0,4.0,4.0,5.0,24.0,26.1,15.0,0.682,0.591,1.0,2.0,22.0,42.2,27.3,46.4,4.9,9.5,33.3,32.3,147.0,111.0,PHO,112,1,2023,2023-01-21,False
15,240.0,240.0,38.0,91.0,0.418,12.0,31.0,0.387,24.0,35.0,0.686,14.0,41.0,55.0,27.0,9.0,8.0,15.0,20.0,112.0,,,0.526,0.484,0.341,0.385,27.5,78.8,53.4,71.1,8.5,13.6,12.4,100.0,106.0,101.3,,,9.0,19.0,0.571,3.0,7.0,0.5,11.0,15.0,1.0,4.0,14.0,16.0,4.0,4.0,4.0,4.0,5.0,24.0,26.1,15.0,0.682,0.591,1.0,2.0,22.0,42.2,27.3,46.4,4.9,9.5,33.3,32.3,147.0,111.0,PHO,112,1,240.0,240.0,36.0,96.0,0.375,13.0,37.0,0.351,22.0,26.0,0.846,11.0,37.0,48.0,22.0,10.0,4.0,15.0,29.0,107.0,,,0.498,0.443,0.385,0.271,21.2,72.5,46.6,61.1,9.4,6.7,12.3,100.0,100.8,105.5,,,8.0,17.0,0.667,5.0,12.0,1.0,11.0,11.0,1.0,3.0,10.0,12.0,12.0,2.0,4.0,4.0,6.0,23.0,20.5,10.0,0.799,0.75,0.75,0.647,23.1,26.1,23.3,56.1,3.8,8.9,36.8,35.9,125.0,111.0,IND,107,0,2023,2023-01-21,True
16,240.0,240.0,49.0,86.0,0.57,13.0,26.0,0.5,19.0,20.0,0.95,7.0,28.0,35.0,28.0,7.0,4.0,12.0,23.0,130.0,,,0.686,0.645,0.302,0.233,25.0,73.7,53.0,57.1,7.2,9.5,11.2,100.0,133.7,125.5,,,12.0,18.0,1.0,4.0,8.0,1.0,8.0,8.0,1.0,3.0,6.0,7.0,12.0,3.0,2.0,4.0,5.0,30.0,25.9,10.0,1.5,1.5,1.0,0.727,22.4,22.8,19.0,39.2,8.9,6.7,27.9,23.9,275.0,130.0,ATL,130,0,240.0,240.0,44.0,84.0,0.524,16.0,42.0,0.381,18.0,24.0,0.75,10.0,21.0,31.0,26.0,5.0,3.0,16.0,19.0,122.0,,,0.645,0.619,0.5,0.286,26.3,75.0,47.0,59.1,5.1,5.0,14.5,100.0,125.5,133.7,,,9.0,19.0,1.0,4.0,10.0,1.0,10.0,12.0,1.0,6.0,8.0,9.0,8.0,2.0,2.0,7.0,5.0,30.0,19.0,3.0,1.042,1.167,1.0,1.333,21.8,39.1,18.8,29.4,2.5,18.4,58.1,47.4,222.0,140.0,DAL,122,1,2023,2023-01-18,True
17,240.0,240.0,44.0,84.0,0.524,16.0,42.0,0.381,18.0,24.0,0.75,10.0,21.0,31.0,26.0,5.0,3.0,16.0,19.0,122.0,,,0.645,0.619,0.5,0.286,26.3,75.0,47.0,59.1,5.1,5.0,14.5,100.0,125.5,133.7,,,9.0,19.0,1.0,4.0,10.0,1.0,10.0,12.0,1.0,6.0,8.0,9.0,8.0,2.0,2.0,7.0,5.0,30.0,19.0,3.0,1.042,1.167,1.0,1.333,21.8,39.1,18.8,29.4,2.5,18.4,58.1,47.4,222.0,140.0,DAL,122,1,240.0,240.0,49.0,86.0,0.57,13.0,26.0,0.5,19.0,20.0,0.95,7.0,28.0,35.0,28.0,7.0,4.0,12.0,23.0,130.0,,,0.686,0.645,0.302,0.233,25.0,73.7,53.0,57.1,7.2,9.5,11.2,100.0,133.7,125.5,,,12.0,18.0,1.0,4.0,8.0,1.0,8.0,8.0,1.0,3.0,6.0,7.0,12.0,3.0,2.0,4.0,5.0,30.0,25.9,10.0,1.5,1.5,1.0,0.727,22.4,22.8,19.0,39.2,8.9,6.7,27.9,23.9,275.0,130.0,ATL,130,0,2023,2023-01-18,False
18,240.0,240.0,43.0,102.0,0.422,9.0,29.0,0.31,26.0,40.0,0.65,24.0,39.0,63.0,24.0,6.0,7.0,14.0,31.0,121.0,,,0.506,0.466,0.284,0.392,39.3,79.6,57.3,55.8,5.6,13.5,10.5,100.0,113.3,114.3,,,9.0,29.0,1.0,4.0,6.0,0.667,6.0,10.0,1.0,8.0,9.0,17.0,8.0,1.0,4.0,5.0,6.0,22.0,21.1,6.0,0.929,1.0,0.667,1.429,24.4,34.2,28.8,38.0,5.0,11.2,22.0,38.8,215.0,123.0,MEM,121,0,240.0,240.0,38.0,93.0,0.409,13.0,41.0,0.317,33.0,41.0,0.805,10.0,37.0,47.0,24.0,7.0,7.0,10.0,26.0,122.0,,,0.549,0.478,0.441,0.441,20.4,60.7,42.7,63.2,6.5,9.6,8.3,100.0,113.7,112.8,,,10.0,21.0,1.0,3.0,10.0,1.0,10.0,11.0,1.0,3.0,7.0,9.0,8.0,3.0,2.0,4.0,5.0,29.0,22.8,9.0,1.5,1.5,1.0,4.0,13.5,18.4,14.1,41.7,4.0,3.6,14.9,34.8,279.0,121.0,LAL,122,1,2023,2023-01-20,False
19,240.0,240.0,38.0,93.0,0.409,13.0,41.0,0.317,33.0,41.0,0.805,10.0,37.0,47.0,24.0,7.0,7.0,10.0,26.0,122.0,,,0.549,0.478,0.441,0.441,20.4,60.7,42.7,63.2,6.5,9.6,8.3,100.0,113.7,112.8,,,10.0,21.0,1.0,3.0,10.0,1.0,10.0,11.0,1.0,3.0,7.0,9.0,8.0,3.0,2.0,4.0,5.0,29.0,22.8,9.0,1.5,1.5,1.0,4.0,13.5,18.4,14.1,41.7,4.0,3.6,14.9,34.8,279.0,121.0,LAL,122,1,240.0,240.0,43.0,102.0,0.422,9.0,29.0,0.31,26.0,40.0,0.65,24.0,39.0,63.0,24.0,6.0,7.0,14.0,31.0,121.0,,,0.506,0.466,0.284,0.392,39.3,79.6,57.3,55.8,5.6,13.5,10.5,100.0,113.3,114.3,,,9.0,29.0,1.0,4.0,6.0,0.667,6.0,10.0,1.0,8.0,9.0,17.0,8.0,1.0,4.0,5.0,6.0,22.0,21.1,6.0,0.929,1.0,0.667,1.429,24.4,34.2,28.8,38.0,5.0,11.2,22.0,38.8,215.0,123.0,MEM,121,0,2023,2023-01-20,True
